Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,353.4,0,02:00.6,02:17.4,3.64,00:00.0,0,31,48,7.8,0,---,---,---,---,---,---,---,---,---,---,52.5694305,-0.1802166
1,360,0,02:02.4,02:17.4,3.64,00:00.0,0,30,49,6.5,0,---,---,---,---,---,---,---,---,---,---,52.5694173,-0.1803107
1,366.9,0,02:04.6,02:20.8,3.55,00:00.0,0,31,50,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5694054,-0.1804114
1,374,0,02:06.4,02:20.4,3.56,00:00.0,0,31,51,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5693926,-0.1805148
1,381.1,0,02:08.4,02:19.3,3.59,00:00.0,0,30,52,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5693771,-0.1806161
1,387.8,0,02:10.2,02:18.9,3.6,00:00.0,0,31,53,6.6,0,---,---,---,---,---,---,---,---,---,---,52.5693637,-0.1807119
1,395.1,0,02:12.2,02:17.4,3.64,00:00.0,0,30,54,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5693493,-0.1808178
1,402.4,0,02:14.2,02:16.6,3.66,00:00.0,0,31,55,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5693358,-0.1809235
1,409.7,0,02:16.2,02:17.4,3.64,00:00.0,0,30,56,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5693213,-0.1810281
1,416.8,0,02:18.2,02:18.9,3.6,00:00.0,0,31,57,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5693064,-0.1811311
